month,us_viewers,imdb_rating,total_votes
3,4370000.0,8.7,29309.0
4,6026818.181818182,8.590909090909092,48945.5
5,6080714.285714285,8.496428571428572,53808.25
6,6109333.333333333,9.346666666666666,61429.066666666666
7,9543333.333333334,8.799999999999999,46512.333333333336
8,10800000.0,9.2,63995.0
