season,avg(us_viewers),avg(imdb_rating),avg(total_votes)
1,2515000.0,8.980000114440918,35616.7
2,3795000.0,8.820000076293946,30263.9
3,4966000.0,8.949999904632568,36131.6
4,6846000.0,9.24000005722046,39393.3
5,6879999.9,8.739999914169312,37860.5
6,7688000.0,8.989999961853027,67475.1
7,1.026142857142857E7,9.02857140132359,56502.42857142857
8,1.1993333333333334E7,6.433333317438762,177794.33333333334
